,0
533,0
534,0
535,0
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,1
544,1
545,0
546,1
547,1
548,1
549,1
550,1
551,1
552,0
553,0
554,1
555,1
556,0
557,0
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,0
577,0
578,1
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,1
587,0
588,0
589,0
590,1
591,1
592,0
593,0
594,1
595,1
596,0
597,0
598,0
599,1
600,1
601,1
602,1
603,1
604,1
605,0
606,0
607,0
608,1
609,0
610,0
611,1
612,1
613,1
614,0
615,1
616,0
617,1
618,1
619,1
620,0
621,0
622,0
623,0
624,1
625,0
626,1
627,0
628,1
629,1
630,0
631,1
632,1
633,1
634,1
635,0
636,1
637,1
638,0
639,1
640,1
641,0
642,1
643,0
644,0
645,0
646,1
647,0
648,1
649,0
650,0
651,1
652,0
653,1
654,1
655,0
656,0
657,1
658,1
659,1
660,1
661,0
662,0
663,1
664,1
665,1
666,0
667,1
668,1
669,1
670,0
671,1
672,0
673,1
674,0
675,0
676,1
677,1
678,0
679,0
680,0
681,1
682,0
683,1
684,1
685,0
686,1
687,1
688,0
689,1
690,0
691,1
692,0
693,0
694,1
695,0
696,0
697,1
698,1
699,0
700,1
701,0
702,1
703,0
704,0
705,1
706,1
707,1
708,1
709,0
710,0
711,0
712,1
713,0
714,0
715,0
716,1
717,0
718,1
719,0
720,1
721,1
722,0
723,1
724,0
725,1
726,1
727,1
728,1
729,1
730,1
731,0
732,1
733,1
734,1
735,0
736,1
737,1
738,1
739,0
740,1
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,1
749,0
750,1
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,0
761,0
762,0
763,1
764,0
765,0
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,1
778,1
779,1
780,0
781,0
782,1
783,0
784,0
785,1
786,0
787,0
788,1
789,0
790,1
791,0
792,0
793,1
794,0
795,1
796,1
797,1
798,1
799,1
800,0
801,1
802,0
803,1
804,0
805,1
806,1
807,1
808,1
809,1
810,0
811,0
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,0
820,1
821,1
822,1
823,0
824,0
825,1
826,1
827,0
828,0
829,1
830,0
831,1
832,1
833,1
834,1
835,1
836,0
837,0
838,0
839,0
840,1
841,1
842,1
843,0
844,0
845,0
846,1
847,0
848,1
849,0
850,1
851,1
852,0
853,1
854,1
855,0
856,0
857,1
858,0
859,0
860,1
861,0
862,0
863,0
864,0
865,0
866,0
867,1
868,0
869,0
870,0
871,1
872,1
873,0
874,0
875,1
876,0
877,1
878,1
879,1
880,1
881,0
882,0
883,1
884,1
885,0
886,0
887,0
888,1
889,0
890,0
891,0
892,1
893,0
894,0
895,1
896,1
897,0
898,0
899,1
900,1
901,0
902,1
903,0
904,1
905,0
906,0
907,0
908,0
909,0
910,1
911,1
912,0
913,1
914,1
915,0
916,0
917,1
918,1
919,0
920,1
921,0
922,1
923,0
924,1
925,0
926,1
927,1
928,1
929,1
930,0
931,0
932,1
933,1
934,0
935,0
936,0
937,1
938,1
939,0
940,0
941,0
942,0
943,1
944,0
945,1
946,0
947,0
948,1
949,0
950,0
951,0
952,1
953,1
954,0
955,1
956,0
957,0
958,1
959,0
960,1
961,0
962,1
963,0
964,0
965,0
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,0
974,1
975,0
976,1
977,0
978,1
979,1
980,0
981,1
982,0
983,0
984,0
985,0
986,1
987,1
988,1
989,0
990,1
991,1
992,1
993,1
994,1
995,1
996,0
997,1
998,1
999,1
1000,0
1001,1
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,0
1012,0
1013,0
1014,1
1015,1
1016,0
1017,1
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,0
1026,1
1027,1
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,1
1035,1
1036,0
1037,0
1038,0
1039,0
1040,1
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,1
1051,0
1052,1
1053,0
1054,0
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,0
1067,0
1068,0
1069,1
1070,1
1071,0
1072,0
1073,0
1074,0
1075,1
1076,0
1077,1
1078,1
1079,1
1080,1
1081,1
1082,0
1083,0
1084,1
1085,0
1086,1
1087,1
1088,0
1089,1
1090,0
1091,0
1092,1
1093,1
1094,1
1095,1
1096,0
1097,0
1098,1
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,1
1107,1
1108,1
1109,0
1110,0
1111,0
1112,1
1113,0
1114,0
1115,1
1116,0
1117,1
1118,0
1119,1
1120,1
1121,1
1122,0
1123,1
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,1
1131,1
1132,0
1133,1
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,1
1141,1
1142,1
1143,1
1144,0
1145,0
1146,0
1147,1
1148,0
1149,0
1150,1
1151,1
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,0
1159,0
1160,1
1161,1
1162,1
1163,0
1164,1
1165,0
1166,0
1167,1
1168,0
1169,0
1170,0
1171,1
1172,0
1173,1
1174,1
1175,1
1176,1
1177,1
1178,1
1179,1
1180,0
1181,0
1182,0
1183,1
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,0
1191,1
1192,1
1193,1
1194,0
1195,1
1196,1
1197,1
1198,0
1199,1
1200,1
1201,0
1202,1
1203,0
1204,0
1205,1
1206,1
1207,0
1208,1
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,0
1217,1
1218,0
1219,0
1220,0
1221,1
1222,0
1223,1
1224,0
1225,1
1226,1
1227,1
1228,1
1229,1
1230,0
1231,0
1232,0
1233,1
1234,1
1235,1
1236,1
1237,0
1238,0
1239,1
1240,0
1241,0
1242,1
1243,1
1244,0
1245,0
1246,1
1247,1
1248,0
1249,1
1250,0
1251,1
1252,1
1253,1
1254,1
1255,0
1256,1
1257,0
1258,0
1259,1
1260,1
1261,1
1262,1
1263,1
1264,1
1265,0
1266,0
1267,1
1268,0
1269,1
1270,1
1271,0
1272,1
1273,0
1274,0
1275,0
1276,1
1277,0
1278,0
1279,1
1280,1
1281,0
1282,0
1283,1
1284,1
1285,1
1286,1
1287,0
1288,1
1289,1
1290,1
1291,1
1292,0
1293,0
1294,1
1295,0
1296,0
1297,1
1298,1
1299,1
1300,1
1301,0
1302,1
1303,1
1304,0
1305,0
1306,1
1307,1
1308,0
1309,1
1310,0
1311,0
1312,1
1313,1
1314,0
1315,1
1316,0
1317,0
1318,1
1319,0
1320,1
1321,1
1322,0
1323,0
1324,0
1325,0
1326,1
1327,1
1328,1
1329,0
1330,1
1331,0
1332,1
1333,0
1334,0
1335,1
1336,1
1337,0
1338,0
1339,0
1340,0
1341,1
1342,0
1343,1
1344,1
1345,1
1346,1
1347,0
1348,0
1349,1
1350,1
1351,1
1352,1
1353,1
1354,0
1355,0
1356,1
1357,1
1358,1
1359,0
1360,0
1361,1
1362,1
1363,0
1364,0
1365,1
1366,1
1367,1
1368,1
1369,0
1370,0
1371,0
1372,0
1373,0
1374,1
1375,1
1376,1
1377,0
1378,1
1379,1
1380,0
1381,1
1382,1
1383,1
1384,0
1385,1
1386,0
1387,0
1388,0
1389,1
1390,1
1391,0
1392,1
1393,0
1394,0
1395,1
1396,1
1397,1
1398,0
1399,0
1400,0
1401,1
1402,1
1403,1
1404,1
1405,1
1406,0
1407,0
1408,0
1409,0
1410,1
1411,1
1412,0
1413,0
1414,1
1415,1
1416,0
1417,0
1418,1
1419,1
1420,0
1421,1
1422,0
1423,0
1424,1
1425,0
1426,1
1427,1
1428,0
1429,0
1430,1
1431,1
1432,0
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,0
1440,1
1441,0
1442,0
1443,0
1444,0
1445,1
1446,0
1447,0
1448,1
1449,1
1450,1
1451,1
1452,0
1453,0
1454,0
1455,0
1456,1
1457,0
1458,1
1459,1
1460,0
1461,1
1462,0
1463,1
1464,0
1465,0
1466,0
1467,0
1468,0
1469,1
1470,0
1471,0
1472,1
1473,0
1474,1
1475,1
1476,0
1477,1
1478,1
1479,1
1480,1
1481,0
1482,0
1483,0
1484,0
1485,0
1486,0
1487,0
1488,1
1489,1
1490,1
1491,0
1492,0
1493,1
1494,1
1495,1
1496,0
1497,0
1498,1
1499,0
1500,1
1501,1
1502,0
1503,1
1504,1
1505,1
1506,1
1507,0
1508,1
1509,0
1510,1
1511,1
1512,0
1513,0
1514,0
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,0
1525,0
1526,0
1527,1
1528,0
1529,0
1530,1
1531,1
1532,1
1533,1
1534,0
1535,0
1536,1
1537,1
1538,1
1539,0
1540,1
1541,0
1542,1
1543,0
1544,0
1545,1
1546,1
1547,1
1548,0
1549,1
1550,1
1551,1
1552,0
1553,1
1554,1
1555,0
1556,1
1557,1
1558,0
1559,1
1560,0
1561,1
1562,0
1563,0
1564,1
1565,1
1566,1
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,1
1574,1
1575,0
1576,1
1577,0
1578,0
1579,1
1580,0
1581,1
1582,0
1583,0
1584,0
1585,0
1586,1
1587,1
1588,0
1589,0
1590,1
1591,1
1592,0
1593,0
1594,0
1595,1
1596,0
1597,1
1598,0
1599,0
1600,0
1601,0
1602,1
1603,1
1604,0
1605,1
1606,1
1607,0
1608,0
1609,0
1610,0
1611,0
1612,0
1613,0
1614,1
1615,0
1616,0
1617,1
1618,1
1619,1
1620,0
1621,0
1622,0
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,0
1633,0
1634,0
1635,0
1636,0
1637,0
1638,0
1639,1
1640,1
1641,0
1642,0
1643,0
1644,0
1645,1
1646,1
1647,0
1648,1
1649,0
1650,1
1651,1
1652,0
1653,0
1654,0
1655,1
1656,1
1657,1
1658,0
1659,1
1660,1
1661,1
1662,0
1663,1
1664,1
1665,1
1666,0
1667,1
1668,1
1669,1
1670,0
1671,0
1672,1
1673,0
1674,1
1675,0
1676,1
1677,0
1678,1
1679,1
1680,1
1681,0
1682,0
1683,0
1684,0
1685,1
1686,1
1687,0
1688,0
1689,1
1690,1
1691,1
1692,0
1693,1
1694,1
1695,1
1696,0
1697,0
1698,1
1699,1
1700,0
1701,1
1702,0
1703,1
1704,0
1705,0
1706,1
1707,1
1708,1
1709,1
1710,0
1711,0
1712,1
1713,0
1714,1
1715,1
1716,0
1717,0
1718,0
1719,1
1720,1
1721,1
1722,0
1723,0
1724,1
1725,0
1726,0
1727,1
1728,1
1729,0
1730,0
1731,1
1732,0
1733,1
1734,0
1735,0
1736,1
1737,1
1738,0
1739,0
1740,0
1741,1
1742,1
1743,0
1744,1
1745,1
1746,0
1747,1
1748,1
1749,1
1750,0
1751,0
1752,0
1753,0
1754,0
1755,0
1756,1
1757,1
1758,1
1759,0
1760,1
1761,0
1762,0
1763,0
1764,0
1765,1
1766,0
1767,0
1768,1
1769,0
1770,1
1771,0
1772,1
1773,0
1774,0
1775,1
1776,1
1777,1
1778,0
1779,1
1780,1
1781,0
1782,1
1783,1
1784,0
1785,1
1786,0
1787,1
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,1
1795,1
1796,0
1797,1
1798,0
1799,1
1800,0
1801,0
1802,1
1803,1
1804,0
1805,0
1806,0
1807,1
1808,1
1809,0
1810,1
1811,1
1812,0
1813,1
1814,1
1815,0
1816,0
1817,0
1818,0
1819,1
1820,1
1821,1
1822,1
1823,0
1824,0
1825,0
1826,1
1827,1
1828,1
1829,0
1830,1
1831,1
1832,0
1833,0
1834,0
1835,1
1836,1
1837,1
1838,1
1839,1
1840,1
1841,1
1842,1
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,1
1850,1
1851,1
1852,1
1853,1
1854,0
1855,0
1856,1
1857,1
1858,1
1859,0
1860,1
1861,0
1862,0
1863,1
1864,1
1865,1
1866,0
1867,1
1868,1
1869,1
1870,1
1871,1
1872,0
1873,0
1874,1
1875,1
1876,0
1877,1
1878,1
1879,0
1880,1
1881,0
1882,1
1883,0
1884,0
1885,1
1886,0
1887,1
1888,1
1889,0
1890,1
1891,1
1892,1
1893,0
1894,1
1895,1
1896,1
1897,0
1898,0
1899,0
1900,1
1901,1
1902,0
1903,0
1904,1
1905,1
1906,1
1907,1
1908,1
1909,0
1910,0
1911,0
1912,1
1913,0
1914,1
1915,0
1916,0
1917,1
1918,1
1919,0
1920,1
1921,0
1922,1
1923,1
1924,1
1925,0
1926,0
1927,0
1928,1
1929,0
1930,0
1931,1
1932,0
1933,1
1934,0
1935,1
1936,0
1937,1
1938,0
1939,1
1940,1
1941,0
1942,0
1943,1
1944,1
1945,1
1946,1
1947,1
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,1
1956,0
1957,0
1958,1
1959,1
1960,1
1961,0
1962,0
1963,0
1964,1
1965,1
1966,0
1967,1
1968,1
1969,1
1970,0
1971,1
1972,1
1973,1
1974,1
1975,0
1976,0
1977,0
1978,1
1979,1
1980,1
1981,1
1982,0
1983,1
1984,0
1985,0
1986,0
1987,1
1988,0
1989,1
1990,1
1991,1
1992,0
1993,1
1994,0
1995,0
1996,0
1997,0
1998,1
1999,0
2000,1
2001,0
2002,0
2003,1
2004,0
2005,0
2006,0
2007,1
2008,1
2009,1
2010,1
2011,1
2012,1
2013,1
2014,0
2015,1
2016,1
2017,1
2018,0
2019,1
2020,1
2021,0
2022,1
2023,1
2024,0
2025,0
2026,0
2027,0
2028,1
2029,1
2030,1
2031,1
2032,0
2033,0
2034,1
2035,0
2036,1
2037,1
2038,0
2039,1
2040,0
2041,0
2042,1
2043,1
2044,0
2045,1
2046,0
2047,0
2048,0
2049,1
2050,1
2051,1
2052,0
2053,0
2054,1
2055,0
2056,0
2057,1
2058,1
2059,1
2060,1
2061,1
2062,0
2063,0
2064,0
2065,1
2066,1
2067,1
2068,1
2069,0
2070,1
2071,0
2072,1
2073,1
2074,1
2075,0
2076,0
2077,1
2078,0
2079,1
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,1
2087,1
2088,1
2089,1
2090,1
2091,0
2092,1
2093,0
2094,1
2095,1
2096,0
2097,0
2098,0
2099,0
2100,0
2101,1
2102,0
2103,1
2104,1
2105,0
2106,1
2107,0
2108,1
2109,1
2110,1
2111,1
2112,1
2113,0
2114,0
2115,1
2116,0
2117,0
2118,1
2119,1
2120,1
2121,0
2122,1
2123,1
2124,0
2125,1
2126,0
2127,0
2128,1
2129,0
2130,0
2131,1
2132,1
2133,0
2134,0
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,0
2142,0
2143,0
2144,1
2145,1
2146,0
2147,0
2148,1
2149,0
2150,1
2151,0
2152,0
2153,1
2154,1
2155,1
2156,0
2157,1
2158,0
2159,1
2160,0
2161,1
2162,1
2163,1
2164,1
2165,0
2166,1
2167,1
2168,1
2169,0
2170,1
2171,1
2172,1
2173,0
2174,1
2175,0
2176,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,0
2183,0
2184,1
2185,0
2186,0
2187,1
2188,0
2189,0
2190,1
2191,0
2192,0
2193,0
2194,1
2195,1
2196,0
2197,1
2198,1
2199,1
2200,1
2201,0
2202,1
2203,0
2204,1
2205,1
2206,0
2207,1
2208,0
2209,1
2210,1
2211,0
2212,1
2213,1
2214,1
2215,1
2216,1
2217,0
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,0
2226,0
2227,0
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,0
2239,1
2240,1
2241,0
2242,0
2243,1
2244,1
2245,0
2246,1
2247,1
2248,0
2249,1
2250,1
2251,1
2252,0
2253,1
2254,0
2255,1
2256,0
2257,1
2258,0
2259,0
2260,0
2261,0
2262,0
2263,1
2264,1
2265,1
2266,1
2267,0
2268,0
2269,1
2270,1
2271,0
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,1
2279,0
2280,0
2281,0
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,0
2289,0
2290,0
2291,1
2292,0
2293,0
2294,1
2295,0
2296,0
2297,1
2298,0
2299,0
2300,0
2301,1
2302,1
2303,1
2304,1
2305,1
2306,0
2307,0
2308,1
2309,0
2310,1
2311,1
2312,1
2313,0
2314,1
2315,0
2316,1
2317,1
2318,1
2319,0
2320,0
2321,0
2322,1
2323,0
2324,1
2325,1
2326,0
2327,0
2328,0
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,0
2336,1
2337,1
2338,1
2339,0
2340,0
2341,0
2342,0
2343,0
2344,1
2345,1
2346,1
2347,1
2348,1
2349,1
2350,0
2351,0
2352,1
2353,1
2354,0
2355,1
2356,1
2357,0
2358,0
2359,1
2360,0
2361,1
2362,1
2363,1
2364,1
2365,1
2366,1
2367,1
2368,1
2369,1
2370,1
2371,1
2372,0
2373,0
2374,0
2375,1
2376,1
2377,0
2378,0
2379,0
2380,1
2381,1
2382,0
2383,0
2384,0
2385,0
2386,1
2387,0
2388,1
2389,1
2390,0
2391,0
2392,1
2393,1
2394,0
2395,1
2396,0
2397,1
2398,0
2399,1
2400,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,1
2407,0
2408,0
2409,0
2410,1
2411,1
2412,1
2413,0
2414,0
2415,0
2416,1
2417,0
2418,0
2419,0
2420,0
2421,1
2422,1
2423,0
2424,0
2425,1
2426,0
2427,0
2428,1
2429,1
2430,1
2431,0
2432,0
2433,0
2434,1
2435,0
2436,1
2437,1
2438,0
2439,1
2440,1
2441,1
2442,1
2443,0
2444,0
2445,1
2446,0
2447,0
2448,1
2449,0
2450,0
2451,1
2452,0
2453,1
2454,0
2455,1
2456,0
2457,0
2458,0
2459,1
2460,1
2461,1
2462,1
2463,1
2464,1
2465,0
2466,0
2467,1
2468,1
2469,1
2470,0
2471,0
2472,0
2473,1
2474,1
2475,0
2476,1
2477,0
2478,0
2479,1
2480,0
2481,0
2482,0
2483,0
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,0
2492,1
2493,1
2494,0
2495,0
2496,1
2497,0
2498,1
2499,1
2500,0
2501,0
2502,1
2503,1
2504,0
2505,1
2506,1
2507,0
2508,0
2509,1
2510,0
2511,0
2512,1
2513,1
2514,1
2515,0
2516,1
2517,1
2518,0
2519,1
2520,0
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,0
2529,1
2530,0
2531,0
2532,1
2533,0
2534,1
2535,1
2536,1
2537,1
2538,0
2539,0
2540,1
2541,0
2542,1
2543,1
2544,1
2545,0
2546,1
2547,0
2548,1
2549,1
2550,1
2551,0
2552,1
2553,1
2554,1
2555,1
2556,0
2557,0
2558,0
2559,1
2560,1
2561,1
2562,0
2563,1
2564,1
2565,0
2566,1
2567,1
2568,0
2569,1
2570,1
2571,1
2572,1
2573,1
2574,0
2575,1
2576,0
2577,0
2578,1
2579,1
2580,0
2581,0
2582,0
2583,1
2584,0
2585,1
2586,1
2587,0
2588,1
2589,0
2590,0
2591,0
2592,0
2593,0
2594,0
2595,0
2596,1
2597,0
2598,1
2599,0
2600,0
2601,0
2602,0
2603,0
2604,0
2605,1
2606,0
2607,0
2608,0
2609,1
2610,1
2611,0
2612,0
2613,1
2614,1
2615,0
2616,1
2617,1
2618,1
2619,0
2620,1
2621,0
2622,1
2623,1
2624,0
2625,0
2626,1
2627,0
2628,0
2629,0
2630,1
2631,0
2632,1
2633,1
2634,1
2635,0
2636,0
2637,0
2638,1
2639,0
2640,0
2641,1
2642,1
2643,0
2644,0
2645,1
2646,0
2647,1
2648,1
2649,1
2650,1
2651,1
2652,0
2653,0
2654,1
2655,0
2656,1
2657,0
2658,0
2659,1
2660,1
2661,1
2662,1
2663,0
2664,1
2665,0
2666,0
2667,1
2668,0
2669,1
2670,0
2671,1
2672,1
2673,1
2674,1
2675,1
2676,0
2677,0
2678,0
2679,1
2680,0
2681,1
2682,1
2683,1
2684,1
2685,1
2686,1
2687,0
2688,0
2689,0
2690,1
2691,1
2692,1
2693,0
2694,0
2695,0
2696,1
2697,0
2698,1
2699,1
2700,1
2701,1
2702,1
2703,1
2704,1
2705,1
2706,0
2707,1
2708,0
2709,0
2710,1
2711,0
2712,1
2713,1
2714,0
2715,1
2716,0
2717,1
2718,0
2719,1
2720,1
2721,1
2722,0
2723,1
2724,1
2725,0
2726,0
2727,1
2728,1
2729,0
2730,0
2731,0
2732,1
2733,1
2734,0
2735,1
2736,1
2737,1
2738,0
2739,1
2740,0
2741,0
2742,0
2743,1
2744,1
2745,0
2746,1
2747,0
2748,0
2749,1
2750,0
2751,0
2752,1
2753,1
2754,1
2755,0
2756,1
2757,1
2758,1
2759,0
2760,0
2761,0
2762,0
2763,1
2764,0
2765,0
2766,1
2767,1
2768,1
2769,1
2770,0
2771,1
2772,0
2773,1
2774,0
2775,1
2776,1
2777,0
2778,0
2779,1
2780,0
2781,0
2782,1
2783,0
2784,1
2785,1
2786,0
2787,1
2788,0
2789,0
2790,0
2791,1
2792,1
2793,1
2794,0
2795,1
2796,0
2797,0
2798,0
2799,1
2800,0
2801,0
2802,1
2803,0
2804,1
2805,0
2806,0
2807,1
2808,1
2809,1
2810,1
2811,1
2812,1
2813,0
2814,1
2815,1
2816,1
2817,1
2818,0
2819,0
2820,1
2821,1
2822,1
2823,0
2824,1
2825,1
2826,0
2827,0
2828,0
2829,0
2830,1
2831,0
2832,1
2833,0
2834,1
2835,1
2836,1
2837,0
2838,1
2839,1
2840,1
2841,1
2842,1
2843,0
2844,0
2845,0
2846,0
2847,1
2848,1
2849,1
2850,1
2851,1
2852,1
2853,0
2854,1
2855,1
2856,0
2857,1
2858,1
2859,1
2860,1
2861,1
2862,0
2863,1
2864,0
2865,0
2866,1
2867,0
2868,1
2869,1
2870,1
2871,1
2872,1
2873,1
2874,0
2875,0
2876,1
2877,1
2878,1
2879,1
2880,1
2881,0
2882,1
2883,1
2884,0
2885,1
2886,1
2887,1
2888,0
2889,1
2890,1
2891,1
2892,1
2893,1
2894,0
2895,1
2896,0
2897,1
2898,0
2899,1
2900,1
2901,1
2902,0
2903,0
2904,0
2905,0
2906,1
2907,1
2908,0
2909,0
2910,1
2911,1
2912,0
2913,0
2914,1
2915,0
2916,0
2917,1
2918,0
2919,1
2920,1
2921,1
2922,0
2923,0
2924,0
2925,0
2926,1
2927,1
2928,1
2929,0
2930,0
2931,0
2932,1
2933,0
2934,1
2935,0
2936,0
2937,0
2938,1
2939,1
2940,1
2941,1
2942,0
2943,1
2944,1
2945,0
2946,1
2947,0
2948,1
2949,0
2950,1
2951,1
2952,1
2953,1
2954,0
2955,1
2956,1
2957,0
2958,0
2959,0
2960,1
2961,0
2962,1
