,0,length
10,"[1, 14, 999, 16, 24, 43, 4, 3422, 7, 481, 11, 2473, 21, 7, 6, 1072, 109, 63, 62, 140, 180, 11, 479, 17, 4, 3446, 91, 804, 2914, 422, 4111, 166, 27, 2016, 133, 11, 14, 2, 787, 7, 113, 23, 2089, 6, 2, 4, 748, 9, 52, 18, 45, 58, 5, 4, 114, 151, 6, 117, 606, 9, 179, 9104, 6, 283, 356, 5, 48, 25, 126, 1921, 8, 79, 12, 23, 374, 25, 528, 2598, 12]",79
11,"[1, 24, 64, 138, 21, 51, 71, 36, 536, 14, 215, 28, 77, 49, 10, 10, 432, 7, 2, 8, 7267, 1171, 2, 88, 14, 9, 31, 7, 148, 1032, 102, 10, 10, 15, 115, 144, 28, 77, 796, 93, 12, 2, 8, 30, 2, 22, 10, 10, 2122, 34, 2122, 21, 209, 4, 1236, 42, 4, 1074, 42, 4, 87, 22, 10, 10, 231, 851, 4, 204, 305, 4062, 624]",71
12,"[1, 14, 9, 31, 7, 4, 1529, 102, 13, 28, 126, 110, 14, 11, 61, 652, 9, 2098, 7455, 33, 27, 118, 146, 24, 179, 252, 138, 14, 22, 47, 1840, 141, 6, 364, 675, 13, 482, 25, 345, 119, 12, 42, 784, 12, 21, 48, 164, 334, 12, 9, 407, 290, 6, 2364]",54
13,"[1, 13, 16, 1017, 14, 8, 30, 43, 40, 4, 409, 497, 8, 30, 629, 630, 56, 267, 710, 1198, 367, 4, 347, 4, 927, 215, 28, 5372, 14, 5, 38, 562, 4, 22, 11, 6, 484, 275, 458, 691, 7354, 4, 85, 108, 14, 764, 40, 6, 275, 22, 247, 74, 4, 2770, 3198, 11, 4, 6156, 297, 201, 4, 162, 326, 495, 231, 14, 4, 118, 11, 4, 201, 34, 230]",73
14,"[1, 54, 13, 86, 219, 4, 20, 13, 197, 12, 16, 1047, 6, 223, 20, 18, 4, 360, 7, 4, 314, 5, 120, 4, 375, 378, 7, 504, 151, 1096, 388, 5, 163, 411, 828, 2, 145, 83, 61, 2334, 5, 263, 2599, 225, 6, 176, 170, 23, 356, 791, 7, 3686, 52, 109, 116, 5, 2, 65, 347, 9, 43, 3791, 2, 12, 6, 235, 52, 20, 2, 4, 2210, 5, 253, 45, 9440, 74, 12, 186, 43, 40, 45, 6, 389, 113, 9]",85
15,"[1, 447, 12, 14, 47, 8, 30, 4, 118, 189, 509, 7, 4, 3090, 13, 10, 10, 16, 33, 4, 1289, 7, 61, 2224, 13, 4584, 6, 378, 211, 389, 10, 10, 116, 12, 9, 484, 189, 21, 12, 16, 163, 54, 12, 16, 981, 10, 10, 8, 30]",49
16,"[1, 466, 4, 804, 177, 14, 1125, 310, 7, 5530, 787, 9, 4, 207, 110, 195, 15, 13, 2, 245, 11, 29, 86, 2153, 989, 4, 105, 161, 1271, 8, 72, 33, 32, 5, 4, 748, 9, 267, 706, 10, 10, 637, 202, 14, 20, 6, 55, 364, 675, 202, 72, 4, 910, 310, 6800]",55
17,"[1, 472, 14, 20, 9, 427, 394, 45, 24, 60, 5006, 78, 43, 1044, 78, 4, 156, 81, 68, 118, 19, 51, 9, 4, 2, 229, 126, 89, 629, 70, 6, 20, 30, 54, 4, 1330, 165, 2290, 6, 2, 7, 3152, 7, 2, 2]",45
18,"[1, 13, 62, 386, 14, 22, 8, 259, 37, 9, 3165, 18, 6, 9073, 253, 1061, 197, 2908, 20, 4, 3819, 7, 383, 2, 5, 567, 93, 18, 6, 91, 2211, 2193, 13, 262, 510, 4, 5027, 136, 21, 198, 242, 88, 13, 412, 6, 346, 3744, 39, 50, 60, 38, 14, 22, 100, 28, 77, 1055, 11, 101, 543, 45, 4, 756, 198, 38, 674, 133, 146, 43, 6089, 15, 2, 39, 1827, 3444, 180, 23, 178, 353, 12, 490, 40, 12]",83
19,"[1, 1361, 4430, 12, 43, 214, 8, 72, 4, 6365, 49, 84, 28, 8, 1034, 5, 13, 361, 4, 2881, 3748, 133, 52, 102, 11, 4, 298, 310, 7, 14, 4174, 708, 294, 872, 4, 204, 277, 286, 195, 18, 298, 1221, 38, 51, 81, 36, 81, 36, 987, 6, 162, 31, 6, 379, 6415, 13, 3945, 146, 351, 21, 216, 8, 113, 174, 38, 4, 52, 232, 70, 1968, 61, 3625, 49, 53, 243, 7, 277, 81, 624, 6, 2077, 5, 79, 4, 204, 31]",86
20,"[1, 54, 13, 86, 219, 14, 22, 12, 16, 24, 35, 1159, 31, 150, 15, 13, 28, 110, 12, 174, 19, 49, 369, 23, 288, 36, 69, 24, 2395, 12, 23, 4, 3390, 268, 61, 652, 1287, 4, 172, 4, 875, 551, 9, 2, 5, 4, 354, 26, 815]",49
21,"[1, 14, 47, 8, 30, 4, 2095, 2284, 509, 126, 75, 6700, 12, 125, 4, 830, 1964, 153, 596, 5, 207, 296, 12, 44, 1088, 211, 120, 4, 153, 13, 1869, 110, 12, 18, 44, 1691, 153, 5, 43, 1033, 296, 14, 20, 146, 24, 3173, 13, 3785, 39, 4, 636, 898, 8, 4, 277, 898, 14, 20, 371, 1674, 129, 483, 46, 60, 48, 25, 92, 28, 476]",69
22,"[1, 4, 649, 200, 4, 4806, 9040, 5, 2, 16, 210, 52, 18, 6, 2, 21, 8, 193, 4, 975, 46, 7, 4, 975, 34, 1430, 6, 20, 187, 4, 992, 1271, 7, 4, 1795, 449, 4, 189, 4, 189, 10, 10]",42
23,"[1, 13, 435, 11, 1017, 24, 76, 39, 406, 5847, 5, 385, 46, 66, 3521, 4, 22, 9, 73, 93, 5, 917, 5, 55, 2, 324, 12, 47, 38, 76, 170, 18, 12, 45, 6, 22, 13, 66, 386, 262, 8, 148, 37, 423, 2, 42, 18, 148, 37, 40, 8, 3924, 4, 5886, 11, 4, 1672, 5, 4, 1776, 2, 3539, 253]",63
24,"[1, 4, 2, 534, 16, 6, 20, 13, 43, 2, 725, 2, 11, 522, 33, 314, 14, 20, 828, 61, 5180, 469, 4, 436, 22, 1223, 2, 9, 14, 338, 6259, 232, 37, 43, 473, 8, 809, 11, 119, 19, 6, 255, 5, 34, 606, 6581, 271, 23, 14, 1048, 1311, 1307, 20, 5, 6, 1599, 2528]",57
25,"[1, 10, 10, 61, 514, 1067, 1219, 1048, 1365, 143, 2, 5, 4, 2, 7, 635, 242, 4, 118, 239, 13, 28, 126, 110, 7403, 1164, 297, 966, 204, 19, 221, 109, 8769, 5, 6, 65, 347, 15, 1299, 5, 505, 38, 6143, 15, 12, 304, 6, 378, 7, 234, 103, 4, 22, 8, 1314, 2, 94, 1262, 60, 53, 253, 149, 12, 174, 18, 4, 130, 1443, 4, 454]",70
26,"[1, 13, 104, 14, 9, 4, 249, 20, 13, 28, 110, 237, 6945, 2, 241, 4, 206, 587, 4, 302, 9, 40, 11, 6, 706, 2, 6, 2, 248, 123, 4, 116, 9, 394, 5, 4, 3233, 26, 60, 53, 379, 74, 11, 2, 798, 33, 32, 2322]",48
27,"[1, 4, 64, 155, 52, 44, 14, 20, 9, 4, 6106, 23, 4, 9591, 3762, 34, 2023, 1479, 2, 1210, 2, 2, 37, 32, 610, 40, 4175, 2, 7, 4, 522, 3469, 5, 820, 877, 701, 1115, 549, 18, 68, 2121, 4323, 2, 4, 4803, 2, 1013, 2, 23, 4, 8, 81, 49, 567, 23, 98, 5, 471, 98, 83, 1484, 78, 116, 5, 78, 114, 95, 2, 23, 4, 147, 1440, 25, 4, 529, 13, 520, 14, 6, 241, 88, 6, 171, 861, 139, 33, 222, 202, 12, 3179, 986, 10, 10]",93
28,"[1, 261, 4, 114, 7, 14, 22, 9, 6, 227, 230, 4190, 12, 9, 290, 319, 43, 18, 4, 354, 7, 8829, 2705, 5, 4, 1569, 1545, 6, 371, 389, 2, 1191, 2705, 2, 12, 56, 63, 9, 618, 51, 4, 109, 29, 9, 395, 144, 81, 441, 5, 253, 14, 9, 6, 534, 5, 6, 320, 7, 776, 149]",60
29,"[1, 11, 4, 172, 96, 2, 2, 16, 6, 2, 7, 27, 336, 4386, 37, 16, 35, 576, 3879, 167, 553, 2, 9, 6, 2, 167, 11, 4, 2, 2, 9292, 4, 1416, 47, 33, 222, 31, 155, 8, 386, 12, 4, 966, 4054, 498, 458, 21, 427, 164, 334, 4, 22, 9, 196, 2, 1061, 19, 31, 2044, 105, 5, 220, 276, 72, 8, 1666, 450, 211, 225, 6, 478, 347, 200, 2, 5, 595, 758, 5, 137, 4, 1416, 218, 340, 3545, 1390, 30, 128, 125, 149, 142, 334, 10, 10, 342, 158]",95
30,"[1, 31, 7, 4, 249, 3327, 102, 207, 110, 318, 302, 71, 394, 229, 16, 527, 2363, 27, 375, 20, 80, 30, 76, 128, 40, 2, 964, 2283, 283, 1838, 5, 2, 24, 17, 52, 17, 4, 360, 106, 2, 48, 25, 181, 8, 67, 35, 7356, 705, 20, 45, 76, 128]",52
31,"[1, 73, 24, 76, 66, 8, 135, 44, 14, 21, 12, 9, 66, 52, 55, 52, 292, 39, 940, 5, 4, 20, 28, 52, 177, 7, 116, 102, 114, 9, 82, 867, 5, 2, 52, 38, 4, 52, 9, 293, 681, 11, 14, 420, 13, 43, 440, 50, 62, 30, 53, 14, 243, 6196, 102, 1584, 138, 14, 31, 590, 3381, 46, 11, 4, 2293, 13, 202, 12, 709, 457, 7, 158]",72
32,"[1, 13, 2488, 264, 50, 26, 84, 46, 50, 15, 122, 24, 40, 14, 20, 13, 197, 12, 16, 4, 1529, 20, 13, 69, 126, 110, 12, 61, 28, 77, 503, 1148, 13, 244, 3774, 3228, 1126, 337, 13, 124, 220, 32, 4, 715, 5, 79, 55, 2, 54, 36, 2, 98, 54, 12, 9, 256, 23, 6, 223, 1308, 14, 9, 31, 7, 61, 514, 102, 38, 13, 5366, 124, 138, 101, 31, 62, 3439, 1216, 2]",78
33,"[1, 14, 20, 9, 31, 7, 61, 32, 58, 2635, 13, 104, 15, 2049, 6465, 122, 6, 87, 292, 116, 12, 9, 31, 7, 4, 171, 283, 537, 15, 93, 12, 8, 22, 15, 13, 66, 40, 12, 9, 11, 61, 350, 158, 108, 7, 32, 58, 13, 106, 12, 120, 5, 120, 5, 115, 79, 1458, 7, 12, 87, 20]",61
34,"[1, 24, 18, 316, 21, 13, 66, 40, 12, 327, 3137, 177, 19, 327, 2, 39, 128, 573, 1850, 40, 2, 2, 5, 565, 744, 1911, 39, 9908, 2, 51, 66, 495, 9, 4, 1648, 200, 4, 289, 1094, 353, 12, 490, 1826, 6, 117]",45
35,"[1, 14, 20, 9, 163, 11, 53, 771, 74, 31, 45, 188, 206, 45, 188, 1285, 45, 188, 2169, 45, 188, 2, 32, 250, 1272, 7, 2135, 1879, 5, 198, 43, 51, 4, 20, 1580, 17, 6, 22, 45, 82, 913, 917, 34, 49, 4, 2, 166, 53, 74, 31, 2055, 1267, 5, 49, 5904, 717, 34, 2194, 21, 54, 25, 97, 6, 20, 14, 646, 871, 188, 58, 8, 990, 692, 8, 148, 1373, 14, 20, 3339, 851, 12, 4487, 48, 25, 70, 169, 12, 13, 69, 8, 818, 12, 8, 67, 12, 21, 13, 92, 2598, 12]",99
36,"[1, 14, 6124, 441, 346, 9, 1192, 31, 7, 4, 118, 3153, 126, 5, 13, 434, 528, 3924, 19, 15, 60, 11, 6, 704, 121, 350, 2501, 1125, 3153, 26, 1075, 19, 2, 14, 22, 131, 1030, 8, 759, 46, 48, 25, 126, 79, 4, 580, 8, 650, 14, 22, 591, 81, 38, 45, 64, 747, 234, 196, 5, 246, 12, 1367, 6, 132, 37, 9, 2192, 19, 2, 6, 255, 37, 2, 4, 2, 5, 6, 3478, 325, 51, 53, 100, 25, 181, 11, 6, 22]",87
37,"[1, 4, 365, 1234, 11, 14, 374, 26, 38, 338, 15, 12, 9, 4063, 4, 239, 562, 333, 273, 8, 4, 2, 1518, 2, 7, 4, 1182, 19, 44, 3264, 318, 302, 3113, 786, 12, 9, 814, 143, 6, 9479, 7, 3740, 64, 31, 42, 107, 1574, 5936, 3113, 324, 5, 3022, 978, 2, 4091, 2555, 83, 4, 370, 4, 1524, 16, 394, 18, 1423, 50, 9, 1813, 2, 11, 5, 46, 19, 6, 964, 583, 7, 1114, 2386, 50, 203, 28, 77, 49, 52, 1105, 1439, 8, 4, 412, 311, 21, 4, 374, 797, 80, 115, 124]",98
38,"[1, 14, 31, 9, 6, 642, 3643, 11, 4, 2683, 4, 116, 5, 114, 713, 15, 1159, 21, 4, 411, 43, 401, 23, 582, 14, 4110, 6, 176, 7, 2, 88, 12, 186, 33, 86, 7334, 40, 73, 6, 78, 20, 21, 45, 38, 2, 15, 25, 191, 339, 21, 30, 5184, 4, 2, 2, 1605, 807, 5, 2812, 105, 401, 12, 170, 13, 16, 262, 4219, 7, 5297, 4, 2, 23, 7383, 190, 4, 31, 15, 66, 3846, 4, 123, 16, 2, 117, 597, 3278, 6890, 2, 27, 312, 7925, 6768, 16, 820, 3308, 4, 226, 20, 2]",99
39,"[1, 14, 346, 16, 4, 86, 346, 626, 34, 5510, 804, 2830, 5, 16, 31, 7, 450, 224, 34, 4, 1182, 800, 2, 3953, 2555, 429, 4, 2543, 91, 400, 4, 860, 137, 2991, 1094, 910, 5, 8, 6, 2911, 2826, 85, 2830, 122, 3153, 400, 5007, 4606, 17, 2, 4, 2159, 7, 804, 2830, 2048, 2462, 23, 4, 860, 348, 4658, 8691, 5, 2, 9209, 4297, 14, 9, 179, 4394, 14, 9, 35, 856, 346, 767, 428, 2, 1336, 5, 2, 18, 3513, 28, 2212, 128, 21, 45, 131, 290, 149, 1178]",93
40,"[1, 13, 191, 264, 13, 1829, 143, 14, 1244, 7651, 4120, 11, 1095, 1148, 460, 1046, 6, 2, 17, 351, 648, 227, 38, 540, 4502, 15, 13, 197, 12, 16, 424, 8, 30, 6, 2, 366, 12, 317, 6, 4569, 414, 647, 114, 13, 104, 45, 6, 902, 15, 6361, 2, 477, 22, 159, 41, 341, 16, 14, 4216, 92, 437, 129, 58, 13, 657, 13, 1869, 4, 64, 1907, 1698, 9, 15, 12, 16, 23, 1877, 38, 13, 161, 437, 61, 278, 23, 350, 7, 285]",87
41,"[1, 87, 20, 13, 16, 1104, 32, 58, 143, 138, 73, 13, 244, 39, 2, 13, 70, 79, 367, 19, 4, 1124, 2, 243, 7, 486, 38, 13, 482, 14, 20, 166, 64, 281, 149, 54, 25, 26, 1124, 2174, 2, 2, 5, 199, 26, 662, 11, 6, 162, 243, 7, 7481, 1124, 1191, 63, 877, 66, 1063, 11, 263, 3125, 2, 21, 7, 265, 36, 26, 55, 379, 17, 11, 175, 212, 129, 965, 486, 80, 1197, 726, 8978, 56, 42, 180]",83
42,"[1, 13, 28, 296, 14, 20, 179, 2, 13, 244, 24, 252, 726, 12, 16, 2947, 8, 30, 6, 189, 599, 3340, 11, 6, 2098, 865, 552, 1586, 42, 35, 4665, 7, 147, 687, 10, 10, 11, 345, 420, 12, 1049, 94, 951, 45, 24, 572, 4822, 1863, 19, 105, 112, 6536, 5, 1194, 18, 4, 2119, 7, 4, 65, 10, 10, 4, 354, 71, 1082, 1444, 885, 78, 10, 10, 18, 72, 13, 62, 28, 5947, 6, 53, 1987, 1483, 5, 14, 22, 100, 714, 28, 825, 180, 14, 5734, 209, 7816, 4, 444, 962]",96
43,"[1, 14, 9, 6, 680, 117, 1551, 20, 39, 4, 522, 4277, 45, 31, 7, 148, 1058, 177, 3904, 4939, 102, 15, 1545, 49, 52, 1994, 48, 25, 40, 4, 84, 11, 14, 31, 202, 12, 6, 324]",38
44,"[1, 419, 9, 6, 22, 15, 47, 1428, 56, 73, 237, 94, 204, 766, 1304, 11, 4555, 4, 20, 9, 6, 601, 2, 7, 4, 2, 1459, 12, 2423, 4, 2, 11, 6, 96, 68, 451, 115, 8961, 98, 349, 19, 147, 2334, 484, 5407, 34, 68, 1180, 4, 2, 71, 348, 4, 1434, 8, 376, 68, 499, 7, 4, 65, 4, 22, 2, 253, 33, 68, 1459, 4, 722, 1600, 5, 4452, 938, 4, 816, 1367, 49, 7, 68, 118, 228, 45, 6, 20, 73, 290, 319, 120, 5, 120, 174]",92
45,"[1, 4, 424, 564, 5, 167, 443, 2, 47, 6573, 220, 4, 226, 114, 7, 4, 2645, 363, 20, 2, 1184, 80, 1259, 111, 139, 26, 82, 618, 4, 172, 4, 114, 16, 43, 1039, 2, 5, 49, 364, 1242, 486, 242, 443, 2, 205, 3565, 5, 4852, 1105, 16, 1283, 8, 8817, 4, 20, 58, 8, 719, 1553, 10, 10, 261, 6463, 4698, 5, 2, 116, 122, 202, 178, 49, 5852, 190, 12, 127, 24, 1735, 2560, 2719, 40, 98, 8, 30, 6, 173, 7, 2, 4886, 54, 36, 533, 401, 979, 84, 8, 570, 2644, 2, 2]",99
46,"[1, 103, 886, 5596, 18, 14, 20, 13, 197, 12, 62, 30, 6, 387, 180, 190, 103, 13, 188, 61, 5425, 300, 288, 4, 288, 16, 1439, 159, 4, 22, 569, 4, 2285, 6154, 13, 16, 3595, 770, 565, 354, 39, 32, 177, 1066, 97, 14, 6, 55, 737, 20, 4, 192, 15, 4, 229, 9, 179, 815, 817, 15, 25, 5366, 79, 2, 180, 11, 65, 5, 1617, 4, 3260, 829, 2367, 9, 2798, 13, 386, 14, 20, 8, 31, 5, 32, 10, 10]",85
47,"[1, 6, 647, 20, 6, 394, 802, 292, 249, 881, 647, 116, 6, 65, 15, 9, 340, 10, 10, 48, 558, 16, 170, 8, 1197, 48, 102, 144, 1743, 8, 30, 224, 4235, 34, 14, 31, 4, 436, 182, 20, 1600, 62, 150, 30, 351, 10, 10, 6, 389, 20, 8, 123, 15, 438, 144, 24, 30, 224, 34, 84, 37, 104, 36, 70, 97, 102, 10, 10, 13, 244, 131, 1535, 37, 26, 148, 107, 539, 37, 123, 56, 11, 4, 20, 18, 120, 320, 35, 534, 5, 26, 115, 1725, 8, 178, 10, 10]",96
48,"[1, 2, 3002, 15, 4, 1072, 2, 93, 253, 7, 6, 6542, 1117, 7828, 57, 351, 1737, 1534, 15, 25, 70, 1677, 125, 6, 52, 20, 4, 2, 6150, 209, 2, 6, 686, 2, 7, 489, 39, 4, 3258, 7, 129, 2, 4, 116, 1201, 2, 23, 4, 1877, 4573, 248, 2407, 4, 114, 9, 329, 7468, 74, 35, 154, 6334, 741, 700, 5, 64, 6190, 1468, 405, 78, 232, 2, 26, 1012, 39, 4, 2, 14, 20, 6883, 4, 1732, 5892, 7, 112, 99, 78, 99, 379, 8, 30, 510, 34, 259, 19, 3366]",95
49,"[1, 48, 335, 11, 4, 1310, 18, 6, 66, 78, 4522, 19, 57, 52, 1509, 2505, 19, 6, 66, 78, 189, 20, 14, 20, 9, 404, 18, 25, 190, 48, 25, 8209, 945, 97, 252, 25, 1142, 129, 58, 149, 233, 21, 14, 4, 116, 9, 2136, 4, 114, 9, 2136, 36, 353, 99, 254, 5, 4, 226, 58, 13, 16, 1064, 18, 4, 31, 52, 1653, 136, 15, 238, 97, 4, 20, 290, 149, 5898, 1231, 19, 4, 2, 1877]",81
50,"[1, 4, 91, 737, 531, 7, 14, 22, 71, 4, 2974, 39, 4, 204, 20, 4, 116, 16, 338, 5, 4, 863, 7, 861, 16, 9301, 4, 302, 71, 2, 33, 118, 50, 71, 57, 759, 46, 354, 4232, 8345, 16, 276, 11, 14, 22, 8, 353, 5, 79, 6, 173, 7, 4, 2195, 2, 311, 4, 204, 16, 76, 53, 737, 5, 2, 13, 244, 806, 8, 135, 15, 14, 9, 24, 170, 8, 30, 31, 7, 4, 153, 158, 118, 38, 230, 12, 9, 33, 4, 1324, 7, 61, 1029, 92, 1414, 19, 14, 31, 1588]",98
51,"[1, 113, 9, 99, 346, 8, 437, 23, 107, 634, 7, 363, 1835, 40, 14, 894, 335, 6, 5753, 3248, 291, 154, 250, 19, 57, 281, 7, 635, 5, 164, 128, 8, 81, 753, 105, 338, 116, 4502, 1426, 815, 65, 550, 1062, 5, 91, 674, 8, 14, 108, 3048, 2011, 57, 31, 2263, 44, 4, 2087, 905, 649]",59
52,"[1, 6, 55, 680, 1193, 21, 1774, 22, 13, 92, 104, 13, 126, 887, 8, 67, 51, 6, 406, 112, 70, 81, 19, 27, 3625, 5, 13, 824, 48, 637, 126, 181, 8, 67, 12, 174, 15, 301, 50, 9, 76, 8, 30, 5184, 34, 40, 193, 23, 2, 356, 1135, 11, 4, 250, 191, 339, 12, 5, 1489, 2, 7, 3549, 200, 41, 2977, 11, 6, 2, 1130, 6, 2542, 235, 55, 76, 40, 6, 7487, 7844, 22, 1228, 338, 116, 19, 4, 2878, 1401, 7, 6673]",88
53,"[1, 13, 119, 14, 20, 5, 32, 1409, 7, 12, 73, 526, 17, 6, 212, 5, 17, 6, 453, 4, 116, 9, 3539, 2566, 34, 35, 32, 323, 177, 37, 297, 4, 312, 926, 162, 782, 950, 4, 1385, 9, 1048, 484, 2877, 13, 82, 119, 4, 65, 6, 1112, 4844, 8946, 37, 9, 170, 143, 6, 2, 3112, 889, 27, 4192, 322, 5, 1129, 125, 8, 6, 3888, 1111, 8, 2421, 46, 19, 27, 577, 37, 4880, 8, 140, 19, 90, 10, 10, 13, 43, 566, 2623, 61, 119, 1586, 195, 2795, 14, 20, 123, 72, 4, 1236]",99
54,"[1, 1891, 7, 1375, 1547, 3076, 9, 38, 1254, 78, 12, 16, 6, 1050, 437, 7, 61, 58, 5, 13, 191, 264, 13, 165, 296, 4, 226, 155, 591, 81, 24, 106, 14, 20, 48, 45, 4, 236, 155, 25, 81]",41
55,"[1, 6, 1624, 365, 19, 489, 156, 15, 331, 115, 2842, 4, 483, 42, 4, 163, 3909, 57, 551, 89, 254, 12, 805, 4, 489, 177, 5315, 956, 5, 321, 93, 25, 440, 18, 2, 42, 312, 2, 9824, 21, 806, 4, 5772, 69, 57, 2, 42, 3549, 18, 15, 551, 6, 342, 7, 158, 18, 781]",57
56,"[1, 51, 62, 12, 30, 40, 8, 30, 3612, 7, 112, 6, 2, 14, 9, 51, 14, 22, 5644, 143, 4, 523, 7, 241, 105, 31, 112, 4, 3612, 2, 4, 85, 112, 4, 2, 12, 9, 6, 2532, 1311, 39, 4, 454, 8, 4, 130, 14, 22, 9, 24, 18, 1462, 5, 48, 25, 81, 24, 391, 993, 2, 1562, 25, 80, 115, 79, 4, 213, 7, 14, 22, 17, 2085, 34, 1552, 7, 4, 857, 133]",78
57,"[1, 57, 3589, 57, 1003, 4492, 6, 65, 15, 9, 441, 163, 5, 867, 1836, 49, 7, 4, 1180, 156, 11, 14, 22, 33, 4, 750, 36, 468, 17, 221, 11, 415, 17, 68, 105, 23, 268, 25, 203, 24, 842, 44, 14, 20, 23, 248, 19, 312, 2863, 3253, 3230, 21, 12, 9, 407, 290, 3303, 46, 13, 28, 1084, 709, 18, 6, 20, 3602, 23, 6, 176, 7, 85, 102, 15, 1173, 14, 441, 267, 930, 8, 705, 3451, 34, 14, 365, 1169]",85
